area_type,location,size,total_sqft,price,category,availability
Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1450,5075000,Urban,Ready To Move
Built-up  Area,BEML Layout,2 BHK,999,4500000,Urban,Ready To Move
Super built-up  Area,Amruthahalli,2 BHK,4400,47500000,Urban,Ready To Move
Plot  Area,Marathahalli,5 Bedroom,1350,13500000,Urban,Ready To Move
Built-up  Area,Kothannur,2 BHK,1100,4000000,Urban,Ready To Move
Super built-up  Area,Koramangala,3 BHK,1835,15500000,Urban,20-Dec
Super built-up  Area,Hoodi,4 BHK,2090,9510000,Urban,Ready To Move
Super built-up  Area,Lingadheeranahalli,3 BHK,1519,9300000,Urban,Ready To Move
Built-up  Area,Dommasandra,3 BHK,1267,5600000,Urban,Ready To Move
Super built-up  Area,Sanjay nagar,2 BHK,1150,7220000,Urban,19-Dec
Super built-up  Area,Marathahalli,2 BHK,1146,7000000,Urban,18-Feb
Plot  Area,1st Block HRBR Layout,8 Bedroom,1200,23500000,Urban,Ready To Move
Built-up  Area,Kannamangala,3 BHK,1550,6500000,Urban,Ready To Move
Built-up  Area,Chandapura,2 BHK,850,1850000,Rural,Ready To Move
Super built-up  Area,Richmond Town,3 BHK,2200,18700000,Urban,Ready To Move
Built-up  Area,"Sarjapur Road, ",3 Bedroom,3329,33000000,Urban,Ready To Move
Carpet  Area,Electronics City Phase 1,1 BHK,785,5500000,Urban,Ready To Move
Super built-up  Area,Hebbal Kempapura,3 BHK,2900,30000000,Urban,Ready To Move
Built-up  Area,Raja Rajeshwari Nagar,3 BHK,1610,7400000,Urban,Ready To Move
Super built-up  Area,Bellandur,2 BHK,921,4000000,Urban,Ready To Move
Plot  Area,Kengeri Satellite Town,3 Bedroom,850,9500000,Urban,Ready To Move
Built-up  Area,Bannerghatta Road,5 Bedroom,2700,15800000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,3 BHK,1700,11000000,Urban,Ready To Move
Built-up  Area,Sarjapur,2 BHK,1020,3500000,Urban,Ready To Move
Super built-up  Area,Billekahalli,2 BHK,1090,5200000,Urban,Ready To Move
Plot  Area,Bagalur Main Road,4 Bedroom,3600,30000000,Urban,Ready To Move
Super built-up  Area,Haralur Road,2 BHK,1027,4400000,Urban,Ready To Move
Super built-up  Area,Thanisandra,2 BHK,1185,4210000,Urban,Ready To Move
Super built-up  Area,Doddathoguru,2 BHK,850,2500000,Urban,Ready To Move
Built-up  Area,Harlur,2 BHK,1197,8400000,Urban,Ready To Move
Super built-up  Area,Byadarahalli,4 BHK,3500,45000000,Urban,Ready To Move
Super built-up  Area,Poorna Pragna Layout,2 BHK,920,3955000,Urban,Ready To Move
Super built-up  Area,Chamrajpet,9 BHK,716Sq. Meter,29600000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1105,6500000,Urban,Ready To Move
Super built-up  Area,Yeshwanthpur,3 BHK,1850,10000000,Urban,20-Dec
Super built-up  Area,Judicial Layout,3 BHK,1300,6400000,Urban,Ready To Move
Built-up  Area,"Varthur Road, ",3 BHK,1595,7600000,Urban,19-Dec
Super built-up  Area,Kodihalli,4 BHK,3073,69600000,Urban,Ready To Move
Built-up  Area,Horamavu Agara,2 BHK,755,3749000,Urban,Ready To Move
Built-up  Area,Nagasandra,5 Bedroom,4050,14000000,Urban,21-Dec
Super built-up  Area,Kanakpura Road,3 BHK,1300,6900000,Urban,Ready To Move
Built-up  Area,Bannerghatta Road,2 BHK,1215,5000000,Urban,20-Oct
Super built-up  Area,Kanakpura Road,2 BHK,900,4600000,Urban,18-Oct
Super built-up  Area,Banashankari Stage III,2 BHK,1145,5840000,Urban,Ready To Move
Super built-up  Area,Chikka Banaswadi,2 BHK,1093,6500000,Urban,17-Nov
Super built-up  Area,Babusapalaya,3 BHK,1213,4139000,Urban,Ready To Move
Super built-up  Area,Bannerghatta Road,3 BHK,1654,10000000,Urban,Ready To Move
Super built-up  Area,NGR Layout,2 BHK,1105,5248000,Urban,Ready To Move
Super built-up  Area,Babusapalaya,3 BHK,1611,6600000,Urban,Ready To Move
Built-up  Area,Outer Ring Road East,2 BHK,1367,6200000,Urban,Ready To Move
Super built-up  Area,Devanahalli,2 BHK,1010,5100000,Rural,Ready To Move
Plot  Area,Kavika Layout,3 Bedroom,750,7500000,Urban,Ready To Move
Carpet  Area,Vinayaka Nagar,3 BHK,1535,9500000,Urban,Ready To Move
Super built-up  Area,Anekal,2 BHK,620,2200000,Rural,Ready To Move
Built-up  Area,Horamavu Agara,2 BHK,982,4765000,Urban,Ready To Move
Super built-up  Area,Banashankari Stage II,2 BHK,1700,15000000,Urban,18-Dec
Super built-up  Area,Whitefield,2 BHK,1330,7100000,Urban,Ready To Move
Built-up  Area,JP Nagar,3 Bedroom,2500,13500000,Urban,Ready To Move
Super built-up  Area,Poorna Pragna Layout,3 BHK,1475,5899000,Urban,Ready To Move
Super built-up  Area,Bhoganhalli,3 BHK,1410,6500000,Urban,Ready To Move
Super built-up  Area,Yelahanka New Town,1 BHK,440,1650000,Urban,Ready To Move
Super built-up  Area,Yelahanka,3 BHK,1614,9500000,Urban,Ready To Move
Super built-up  Area,Neeladri Nagar,2 BHK,1363,6800000,Urban,Ready To Move
Built-up  Area,Kogilu,2 Bedroom,650,2800000,Urban,Ready To Move
Super built-up  Area,Dodda Kempaiah Layout,2 BHK,1015,4500000,Urban,Ready To Move
Super built-up  Area,Horamavu Banaswadi,2 BHK,1156,4600000,Urban,19-Mar
Super built-up  Area,Hennur Busstop,2 BHK,1100,6270000,Urban,18-Jan
Super built-up  Area,KR Puram,3 BHK,1455,4600000,Urban,Ready To Move
Super built-up  Area,GB Palya,2 BHK,930,4500000,Urban,Ready To Move
Built-up  Area,AMS Layout,3 BHK,1650,8000000,Urban,Ready To Move
Built-up  Area,KR Puram,2 Bedroom,1200,9000000,Urban,Ready To Move
Plot  Area,9th Block Jayanagar,1 Bedroom,700,15000000,Urban,Ready To Move
Super built-up  Area,Karuna Nagar,4 BHK,2900,13500000,Urban,18-Mar
Super built-up  Area,Kadugodi,3 BHK,1890,12700000,Urban,Ready To Move
Super built-up  Area,Ashwathnagar,3 BHK,2197,28000000,Urban,Ready To Move
Super built-up  Area,Hebbal Kempapura,3 BHK,3522,38000000,Urban,18-Apr
Super built-up  Area,Gaurava Nagar,3 BHK,1240,4600000,Urban,Ready To Move
Built-up  Area,HRBR Layout,2 BHK,1440,9800000,Urban,Ready To Move
Super built-up  Area,Kodichikkanahalli,1 BHK,650,3800000,Urban,19-Jun
Super built-up  Area,Budigere,1 BHK,764,3200000,Urban,Ready To Move
Plot  Area,Sector 7 HSR Layout,5 Bedroom,900,9000000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,3 BHK,1693,5739000,Urban,Ready To Move
Built-up  Area,Hoodi,3 BHK,1445,6500000,Urban,21-Oct
Super built-up  Area,Kanakpura Road,2 BHK,900,4500000,Urban,Ready To Move
Super built-up  Area,Singasandra,2 BHK,1030,5500000,Urban,Ready To Move
Super built-up  Area,Yelahanka,3 BHK,1381,5248000,Urban,Ready To Move
Built-up  Area,Basapura,2 BHK,1100,6000000,Urban,Ready To Move
Super built-up  Area,Hoodi,3 BHK,1575,6639000,Urban,Ready To Move
Plot  Area,Thigalarapalya,2 Bedroom,1200,6500000,Urban,Ready To Move
Super built-up  Area,Begur Road,2 BHK,1200,4320000,Urban,Ready To Move
Super built-up  Area,Kasturi Nagar,2 BHK,1080,8000000,Urban,Ready To Move
Plot  Area,Hebbal Kempapura,5 Bedroom,2280,20000000,Urban,18-Mar
Super built-up  Area,Akshaya Nagar,3 BHK,1360,8500000,Urban,19-Dec
Super built-up  Area,Jakkur,3 BHK,1865,12400000,Urban,18-Nov
Super built-up  Area,Sarjapur  Road,3 BHK,1157,7500000,Urban,Ready To Move
Super built-up  Area,Kammasandra,2 BHK,674,2900000,Urban,Ready To Move
Super built-up  Area,Whitefield,3 BHK,1405,7800000,Urban,Ready To Move
Super built-up  Area,Begur Road,2 BHK,1160,4408000,Urban,Ready To Move
Plot  Area,Kengeri Satellite Town ( BDA SITE),4 Bedroom,1600,17200000,Urban,21-Mar
Super built-up  Area,Hebbal,3 BHK,1790,12700000,Urban,18-May
Super built-up  Area,Electronic City,2 BHK,1128,6565000,Urban,Ready To Move
Super built-up  Area,Panathur,2 BHK,1180,7000000,Urban,Ready To Move
Built-up  Area,AGS Layout,3 BHK,1450,8500000,Urban,18-Mar
Built-up  Area,Kengeri,1 BHK,340,1000000,Urban,Ready To Move
Built-up  Area,Srinagar,4 Bedroom,2000,16600000,Urban,Ready To Move
Super built-up  Area,Rachenahalli,2 BHK,1050,5350000,Urban,Ready To Move
Super built-up  Area,Varthur,2 BHK,1125,4000000,Urban,Ready To Move
Super built-up  Area,Vittasandra,2 BHK,1246,6800000,Urban,Ready To Move
Super built-up  Area,HSR Layout,2 BHK,1372,6100000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,3 BHK,1330,5600000,Urban,19-Dec
Super built-up  Area,Binny Pete,3 BHK,2465,23400000,Urban,Ready To Move
Super built-up  Area,Dasarahalli,2 BHK,1300,5500000,Urban,Ready To Move
Plot  Area,Brigade Road,2 Bedroom,1420,22000000,Urban,Ready To Move
Plot  Area,Bannerghatta,4 Bedroom,810,5000000,Urban,Ready To Move
Super built-up  Area,Channasandra,2 BHK,1065,3500000,Urban,Ready To Move
Built-up  Area,Hessarghatta,2 BHK,700,2700000,Rural,18-Mar
Carpet  Area,Hebbal,2 BHK,547.34 - 827.31,4272000,Urban,Ready To Move
Super built-up  Area,Belathur,2 BHK,1050,4500000,Urban,18-Apr
Super built-up  Area,Maruthi HBCS Layout,3 BHK,1250,3950000,Urban,Ready To Move
Built-up  Area,Electronic City,2 BHK,865,4200000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,2 BHK,1200,4400000,Urban,Ready To Move
Built-up  Area,Srirampura,3 BHK,1756,10000000,Urban,Ready To Move
Plot  Area,Malleshwaram,9 Bedroom,750,15000000,Urban,Ready To Move
Super built-up  Area,Yelahanka,1 BHK,628,2400000,Urban,Ready To Move
Plot  Area,9th Phase JP Nagar,7 Bedroom,1200,19500000,Urban,Ready To Move
Super built-up  Area,5th Phase JP Nagar,2 BHK,1207,6300000,Urban,Ready To Move
Super built-up  Area,Kalena Agrahara,3 BHK,1765,12500000,Urban,18-Dec
Built-up  Area,Electronic City,2 BHK,1130,3264000,Urban,18-Jun
Super built-up  Area,Devanahalli Road,3 BHK,1532,9200000,Urban,Ready To Move
Built-up  Area,Ejipura,3 BHK,1650,11000000,Urban,18-May
Built-up  Area,Horamavu Banaswadi,4 Bedroom,1200,10500000,Urban,18-Dec
Carpet  Area,Bhoganhalli,2 BHK,804.1,6909000,Urban,
